City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
215,Talnakh,69.4865,88.3972,-28.88,77,15,2.75,RU,2023-01-19 06:30:37
216,Rio Cuarto,-33.1307,-64.3499,71.47,83,0,4.61,AR,2023-01-19 06:30:39
217,Zaraza,9.3503,-65.3245,70.47,89,1,3.78,VE,2023-01-19 06:30:40
218,Tilichiki,60.4667,166.1,-18.24,87,100,9.44,RU,2023-01-19 06:30:42
219,Carutapera,-1.195,-46.02,73.17,94,100,2.75,BR,2023-01-19 06:30:44
220,Chuy,-33.6971,-53.4616,71.91,69,100,10.71,UY,2023-01-19 06:30:46
221,Totness,5.8833,-56.3167,73.8,88,65,8.08,SR,2023-01-19 06:30:47
222,Tommot,58.9564,126.2925,-45.56,96,100,1.72,RU,2023-01-19 06:30:49
223,Provideniya,64.3833,-173.3,-21.42,90,37,6.31,RU,2023-01-19 06:30:50
224,Bilibino,68.0546,166.4372,-33.32,99,100,3.15,RU,2023-01-19 06:30:53
225,Paso De Los Toros,-32.8167,-56.5167,70.86,76,100,13.98,UY,2023-01-19 06:30:56
226,Belyy Yar,53.6039,91.3903,11.86,77,40,2.24,RU,2023-01-19 06:30:57
227,Saint-Philippe,-21.3585,55.7679,76.59,86,100,15.37,RE,2023-01-19 06:30:59
228,Alekseyevka,50.6309,38.6903,35.26,87,99,15.12,RU,2023-01-19 06:31:01
229,Hofn,64.2539,-15.2082,26.31,66,9,18.72,IS,2023-01-19 06:31:02
230,Taltal,-25.4,-70.4833,65.68,82,56,2.17,CL,2023-01-19 06:31:04
231,Westport,41.1415,-73.3579,42.75,79,0,4.61,US,2023-01-19 06:32:06
232,Buchanan,5.8808,-10.0467,75.94,92,69,5.01,LR,2023-01-19 06:32:07
233,Manokwari,-0.8667,134.0833,82.53,72,100,8.61,ID,2023-01-19 06:32:09
234,Mar Del Plata,-38.0023,-57.5575,74.08,91,75,13.0,AR,2023-01-19 06:32:11
235,Chardara,41.2547,67.9692,22.86,70,100,2.06,KZ,2023-01-19 06:32:13
236,Kudahuvadhoo,2.6708,72.8944,80.73,77,8,10.6,MV,2023-01-19 06:32:15
237,Alihe,50.5667,123.7167,-6.07,80,100,4.88,CN,2023-01-19 06:32:17
238,Uray,60.1247,64.7758,14.76,91,90,4.47,RU,2023-01-19 06:32:19
239,Portobelo,9.55,-79.65,75.11,82,29,4.79,PA,2023-01-19 06:32:20
240,Hithadhoo,-0.6,73.0833,81.59,75,9,8.93,MV,2023-01-19 06:32:22
241,Viedma,-40.8135,-62.9967,69.42,77,0,9.84,AR,2023-01-19 06:32:23
242,Tuy Hoa,13.0833,109.3,72.9,81,100,17.02,VN,2023-01-19 06:32:24
243,Strezhevoy,60.7333,77.5889,4.33,96,96,9.26,RU,2023-01-19 06:32:26
244,Opuwo,-18.0607,13.84,66.7,86,100,1.59,NA,2023-01-19 06:32:27
245,Okhotsk,59.3833,143.3,-13.58,81,100,11.14,RU,2023-01-19 06:32:17
246,Ilam,26.9167,87.9167,58.08,52,66,6.44,NP,2023-01-19 06:32:31
247,Egvekinot,66.3167,-179.1667,-22.36,97,100,3.06,RU,2023-01-19 06:32:32
248,Novovarshavka,54.1721,74.6946,12.13,94,31,8.28,RU,2023-01-19 06:32:34
249,Gueret,46.1667,1.8667,25.9,98,80,3.22,FR,2023-01-19 06:32:35
250,Mahebourg,-20.4081,57.7,83.25,94,75,12.66,MU,2023-01-19 06:32:36
251,Yershov,51.3513,48.2766,17.73,79,5,9.93,RU,2023-01-19 06:32:38
252,Athabasca,54.7169,-113.2854,16.21,95,100,2.73,CA,2023-01-19 06:32:39
253,Weatherford,32.7593,-97.7972,57.22,30,0,4.0,US,2023-01-19 06:30:58
254,Mbandaka,0.0487,18.2603,79.63,58,59,2.64,CD,2023-01-19 06:32:42
255,Fortuna Foothills,32.6578,-114.4119,46.49,56,0,0.0,US,2023-01-19 06:32:43
256,Tuatapere,-46.1333,167.6833,67.78,64,41,6.02,NZ,2023-01-19 06:29:37
257,Riberalta,-10.9833,-66.1,70.12,99,100,2.04,BO,2023-01-19 06:32:45
258,Meulaboh,4.1363,96.1285,83.19,61,34,7.18,ID,2023-01-19 06:32:47
259,Portland,45.5234,-122.6762,41.74,94,75,11.01,US,2023-01-19 06:30:00
260,San Juan,-31.5375,-68.5364,81.81,48,90,8.05,AR,2023-01-19 06:30:32
261,Trindade,-16.6494,-49.4889,67.75,91,55,1.3,BR,2023-01-19 06:32:50
262,Marawi,7.9986,124.2928,73.71,92,72,4.27,PH,2023-01-19 06:32:51
263,Maykor,59.0059,55.88,9.86,94,42,5.75,RU,2023-01-19 06:32:53
264,Porto Velho,-8.7619,-63.9039,75.25,94,0,3.44,BR,2023-01-19 06:32:54
265,Cidreira,-30.1811,-50.2056,73.35,90,98,10.51,BR,2023-01-19 06:32:55
266,Ryotsu,38.0833,138.4333,42.84,60,10,8.9,JP,2023-01-19 06:32:57
267,La Palma,33.8464,-118.0467,53.87,83,75,0.0,US,2023-01-19 06:32:58
268,Helmsdale,58.1168,-3.6517,31.95,88,100,28.27,GB,2023-01-19 06:32:59
